OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
GB-BV-080	27	1	1236.65347	601.16172	1066.22772	636.42134
GB-BV-080	28	0	1191.26733	218.97030	1052.85149	240.23212
GB-BV-080	28	1	1273.10891	177.52365	1118.34653	195.79648
GB-BV-080	29	0	1382.19307	640.80224	1309.86254	684.06716
GB-BV-080	29	1	1297.07240	636.77239	1216.68311	675.00000
GB-BV-080	30	0	908.86139	733.74477	706.28713	752.30363
GB-BV-080	30	1	766.13861	760.31243	555.60396	769.56326
GB-BV-162	0	0	1079.87408	461.41791	807.89087	475.52239
GB-BV-162	1	0	1587.30769	493.87762	1651.40447	493.32084
GB-BV-162	1	1	1544.13151	477.98346	1599.44417	475.62734
GB-BV-162	2	0	812.95782	587.83903	803.76675	594.17420
GB-BV-162	2	1	758.16873	593.08710	750.91315	601.52150
GB-BV-162	3	0	1352.11414	465.66814	1289.28536	468.12900
GB-BV-162	3	1	1248.60050	470.97574	1185.21588	476.37596
GB-BV-162	4	0	1371.25310	665.42007	1259.43672	683.17971
GB-BV-162	4	1	1360.08685	708.00441	1255.11911	728.16318
GB-BV-162	5	0	936.45545	115.92409	1027.77228	118.26183
GB-BV-162	5	1	1005.36634	109.78988	1097.27723	110.03300
GB-BV-162	6	0	371.61290	444.14553	563.37469	459.62514
GB-BV-162	7	0	1568.45906	383.58655	1671.25806	367.61963
GB-BV-162	7	1	1480.32010	390.53252	1575.77419	380.91621
GB-BV-162	8	0	734.85856	723.32194	691.11166	723.22492
GB-BV-162	8	1	788.75434	726.02095	744.56079	730.57222
GB-BV-162	9	0	820.87345	704.46748	769.00496	706.17310
GB-BV-162	9	1	776.80397	717.06284	725.82878	721.01764
GB-BV-162	10	0	1251.26551	490.23374	1262.16873	493.31422
GB-BV-162	10	1	1306.20347	480.03749	1319.77916	481.82470
GB-BV-162	11	0	1639.41935	426.41235	1556.87841	420.07387
GB-BV-162	11	1	1741.55335	410.81808	1654.54591	402.98015
GB-BV-162	12	0	1668.59057	447.00772	1567.96774	444.58214
GB-BV-162	12	1	1560.79901	432.61301	1465.23821	429.28776
GB-BV-162	13	0	1121.47146	502.36825	1077.58065	509.22161
GB-BV-162	13	1	1197.40199	480.92613	1156.33995	485.83021
GB-BV-162	14	0	909.43176	853.52481	706.24318	854.61632
GB-BV-162	14	1	969.58065	840.47960	769.66749	844.57001
GB-BV-162	15	0	1055.61787	922.62183	753.73449	929.42778
GB-BV-162	15	1	958.24814	954.85998	668.12655	954.16869
GB-BV-162	16	0	641.12159	872.01764	455.07940	861.01213
GB-BV-162	16	1	718.68983	882.96362	528.77667	874.50717
GB-BV-162	17	0	590.83168	80.97910	478.41584	129.73597
GB-BV-162	17	1	403.97030	17.80418	305.98020	81.56106
GB-BV-162	18	0	717.36476	717.78170	696.77419	720.39691
GB-BV-162	19	0	1525.02233	496.55347	1632.94293	495.01874
GB-BV-162	20	0	1277.80397	937.26902	903.72953	959.01764
GB-BV-162	20	1	1147.53102	942.36714	808.89082	957.06836
GB-BV-162	21	0	1045.42680	961.12238	596.67742	966.18192
GB-BV-162	21	1	1781.83623	878.76516	1437.61787	929.96692
GB-BV-162	22	0	1261.98759	386.06505	1287.61538	382.37486
GB-BV-162	22	1	1347.89330	339.28225	1370.57568	331.02977
GB-BV-162	23	0	873.51613	509.78170	888.08933	516.86990
GB-BV-162	23	1	945.87345	491.48842	963.33995	498.92613
GB-BV-162	24	0	1213.04715	463.91621	1232.72953	466.77508
GB-BV-162	24	1	1273.34491	455.96913	1294.06948	457.32856
GB-BV-162	25	0	735.32010	512.46417	748.04715	522.07718
GB-BV-162	25	1	823.90571	510.96472	846.60794	519.37817
GB-BV-162	26	0	983.69975	508.27122	1025.71960	513.12348
GB-BV-162	26	1	1026.57816	483.08049	1066.81141	488.83241
GB-BV-162	27	0	1293.53515	460.80597	1397.49948	458.98134
GB-BV-162	27	1	1369.08604	471.88806	1484.13116	469.05597
