"","opcode","fullspp","MaxN","longitude","latitude","depth","status","sd"
"181","CF3-5","Pomacentridae Chromis klunzingeri",16,114.9588213,-34.07358433,34,"No-Take","preferential"
"182","CF3-5","Serranidae Caesioperca rasor",1,114.9588213,-34.07358433,34,"No-Take","preferential"
"183","CF3-5","Urolophidae Trygonoptera ovalis",1,114.9588213,-34.07358433,34,"No-Take","preferential"
"184","CF4-1","Dinolestidae Dinolestes lewini",3,114.9633138,-34.08754717,33,"No-Take","preferential"
"185","CF4-1","Gerreidae Parequula melbournensis",1,114.9633138,-34.08754717,33,"No-Take","preferential"
"186","CF4-1","Labridae Austrolabrus maculatus",1,114.9633138,-34.08754717,33,"No-Take","preferential"
"187","CF4-1","Labridae Coris auricularis",1,114.9633138,-34.08754717,33,"No-Take","preferential"
"188","CF4-1","Labridae Ophthalmolepis lineolatus",6,114.9633138,-34.08754717,33,"No-Take","preferential"
"189","CF4-1","Labridae Pictilabrus laticlavius",1,114.9633138,-34.08754717,33,"No-Take","preferential"
"190","CF4-1","Labridae Pseudolabrus biserialis",7,114.9633138,-34.08754717,33,"No-Take","preferential"
"191","CF4-1","Microcanthidae Neatypus obliquus",1,114.9633138,-34.08754717,33,"No-Take","preferential"
"192","CF4-1","Monacanthidae Meuschenia galii",1,114.9633138,-34.08754717,33,"No-Take","preferential"
"193","CF4-1","Mullidae Upeneichthys vlamingii",1,114.9633138,-34.08754717,33,"No-Take","preferential"
"194","CF4-1","Myliobatidae Myliobatis tenuicaudatus",1,114.9633138,-34.08754717,33,"No-Take","preferential"
"195","CF4-1","Pomacentridae Chromis klunzingeri",2,114.9633138,-34.08754717,33,"No-Take","preferential"
"196","CF4-1","Urolophidae Trygonoptera ovalis",1,114.9633138,-34.08754717,33,"No-Take","preferential"
"197","CF4-2","Carcharhinidae Galeocerdo cuvier",1,114.9595879,-34.08807385,33,"No-Take","preferential"
"198","CF4-2","Dasyatidae Bathytoshia brevicaudata",2,114.9595879,-34.08807385,33,"No-Take","preferential"
"199","CF4-2","Labridae Coris auricularis",1,114.9595879,-34.08807385,33,"No-Take","preferential"
"200","CF4-2","Labridae Notolabrus parilus",1,114.9595879,-34.08807385,33,"No-Take","preferential"
"201","CF4-2","Labridae Ophthalmolepis lineolatus",9,114.9595879,-34.08807385,33,"No-Take","preferential"
"202","CF4-2","Labridae Pictilabrus laticlavius",1,114.9595879,-34.08807385,33,"No-Take","preferential"
"203","CF4-2","Labridae Pseudolabrus biserialis",3,114.9595879,-34.08807385,33,"No-Take","preferential"
"204","CF4-2","Monacanthidae Meuschenia galii",1,114.9595879,-34.08807385,33,"No-Take","preferential"
"205","CF4-2","Serranidae Caesioperca rasor",2,114.9595879,-34.08807385,33,"No-Take","preferential"
"206","CF4-3","Gerreidae Parequula melbournensis",1,114.9611276,-34.08496047,33,"No-Take","preferential"
"207","CF4-3","Labridae Coris auricularis",1,114.9611276,-34.08496047,33,"No-Take","preferential"
"208","CF4-3","Labridae Olisthops cyanomelas",1,114.9611276,-34.08496047,33,"No-Take","preferential"
"209","CF4-3","Labridae Ophthalmolepis lineolatus",9,114.9611276,-34.08496047,33,"No-Take","preferential"
"210","CF4-3","Labridae Pictilabrus laticlavius",3,114.9611276,-34.08496047,33,"No-Take","preferential"
"211","CF4-3","Labridae Pictilabrus viridis",1,114.9611276,-34.08496047,33,"No-Take","preferential"
"212","CF4-3","Labridae Pseudolabrus biserialis",3,114.9611276,-34.08496047,33,"No-Take","preferential"
"213","CF4-3","Monacanthidae Meuschenia galii",1,114.9611276,-34.08496047,33,"No-Take","preferential"
"214","CF4-3","Muraenidae Gymnothorax woodwardi",1,114.9611276,-34.08496047,33,"No-Take","preferential"
"215","CF4-4","Gerreidae Parequula melbournensis",3,114.9668564,-34.08608947,33,"No-Take","preferential"
"216","CF4-4","Heterodontidae Heterodontus portusjacksoni",2,114.9668564,-34.08608947,33,"No-Take","preferential"
"217","CF4-4","Labridae Coris auricularis",3,114.9668564,-34.08608947,33,"No-Take","preferential"
"218","CF4-4","Labridae Ophthalmolepis lineolatus",6,114.9668564,-34.08608947,33,"No-Take","preferential"
"219","CF4-4","Labridae Pseudolabrus biserialis",1,114.9668564,-34.08608947,33,"No-Take","preferential"
"220","CF4-4","Microcanthidae Neatypus obliquus",2,114.9668564,-34.08608947,33,"No-Take","preferential"
"221","CF4-4","Mullidae Upeneichthys vlamingii",1,114.9668564,-34.08608947,33,"No-Take","preferential"
"222","CF4-4","Myliobatidae Myliobatis tenuicaudatus",1,114.9668564,-34.08608947,33,"No-Take","preferential"
"223","CF4-4","Platycephalidae Platycephalus spp",1,114.9668564,-34.08608947,33,"No-Take","preferential"
"224","CF4-5","Labridae Anampses geographicus",1,114.9656054,-34.08977418,32,"No-Take","preferential"
"225","CF4-5","Labridae Coris auricularis",12,114.9656054,-34.08977418,32,"No-Take","preferential"
"226","CF4-5","Labridae Notolabrus parilus",1,114.9656054,-34.08977418,32,"No-Take","preferential"
"227","CF4-5","Labridae Ophthalmolepis lineolatus",9,114.9656054,-34.08977418,32,"No-Take","preferential"
"228","CF4-5","Labridae Pictilabrus laticlavius",1,114.9656054,-34.08977418,32,"No-Take","preferential"
"229","CF4-5","Labridae Pseudolabrus biserialis",4,114.9656054,-34.08977418,32,"No-Take","preferential"
"230","CF4-5","Myliobatidae Myliobatis tenuicaudatus",3,114.9656054,-34.08977418,32,"No-Take","preferential"
"231","CF4-5","Sparidae Chrysophrys auratus",2,114.9656054,-34.08977418,32,"No-Take","preferential"
"232","CF4-5","Urolophidae Trygonoptera spp",1,114.9656054,-34.08977418,32,"No-Take","preferential"
"233","CF5-1","Carangidae Pseudocaranx spp",2,114.959977,-34.10426937,32,"No-Take","preferential"
"234","CF5-1","Dasyatidae Bathytoshia brevicaudata",1,114.959977,-34.10426937,32,"No-Take","preferential"
"235","CF5-1","Labridae Coris auricularis",1,114.959977,-34.10426937,32,"No-Take","preferential"
"236","CF5-1","Labridae Notolabrus parilus",1,114.959977,-34.10426937,32,"No-Take","preferential"
"237","CF5-1","Labridae Olisthops cyanomelas",1,114.959977,-34.10426937,32,"No-Take","preferential"
"238","CF5-1","Labridae Ophthalmolepis lineolatus",7,114.959977,-34.10426937,32,"No-Take","preferential"
"239","CF5-1","Labridae Pictilabrus laticlavius",1,114.959977,-34.10426937,32,"No-Take","preferential"
"240","CF5-1","Labridae Pseudolabrus biserialis",4,114.959977,-34.10426937,32,"No-Take","preferential"
"241","CF5-1","Microcanthidae Neatypus obliquus",5,114.959977,-34.10426937,32,"No-Take","preferential"
"242","CF5-1","Muraenidae Gymnothorax woodwardi",1,114.959977,-34.10426937,32,"No-Take","preferential"
"243","CF5-1","Myliobatidae Myliobatis tenuicaudatus",1,114.959977,-34.10426937,32,"No-Take","preferential"
"244","CF5-1","Pempherididae Pempheris klunzingeri",89,114.959977,-34.10426937,32,"No-Take","preferential"
"245","CF5-1","Pomacentridae Chromis klunzingeri",48,114.959977,-34.10426937,32,"No-Take","preferential"
"246","CF5-1","Serranidae Caesioperca rasor",25,114.959977,-34.10426937,32,"No-Take","preferential"
"247","CF5-1","Trygonorrhinidae Trygonorrhina dumerilii",1,114.959977,-34.10426937,32,"No-Take","preferential"
"248","CF5-2","Berycidae Centroberyx lineatus",2,114.9568119,-34.10275713,37,"No-Take","preferential"
"249","CF5-2","Labridae Austrolabrus maculatus",2,114.9568119,-34.10275713,37,"No-Take","preferential"
"250","CF5-2","Labridae Coris auricularis",6,114.9568119,-34.10275713,37,"No-Take","preferential"
"251","CF5-2","Labridae Ophthalmolepis lineolatus",2,114.9568119,-34.10275713,37,"No-Take","preferential"
"252","CF5-2","Labridae Pseudolabrus biserialis",26,114.9568119,-34.10275713,37,"No-Take","preferential"
"253","CF5-2","Microcanthidae Neatypus obliquus",6,114.9568119,-34.10275713,37,"No-Take","preferential"
"254","CF5-2","Monacanthidae Meuschenia flavolineata",1,114.9568119,-34.10275713,37,"No-Take","preferential"
"255","CF5-2","Monacanthidae Meuschenia galii",1,114.9568119,-34.10275713,37,"No-Take","preferential"
"256","CF5-2","Mullidae Upeneichthys vlamingii",2,114.9568119,-34.10275713,37,"No-Take","preferential"
"257","CF5-2","Pomacentridae Chromis klunzingeri",4,114.9568119,-34.10275713,37,"No-Take","preferential"
"258","CF5-2","Pomacentridae Chromis westaustralis",7,114.9568119,-34.10275713,37,"No-Take","preferential"
"259","CF5-2","Scorpaenidae Scorpaena sumptuosa",1,114.9568119,-34.10275713,37,"No-Take","preferential"
