campaignid,sample,latitude,longitude,date,time,location,site,depth,observer,successful.count,successful.length,raw.hdd.number,con.hdd.number,commonwealth.zone,state.zone,status
2014-12_Geographe.Bay_stereoBRUVs,56,-33.4953,115.2224,9/12/2014,9:49:00,Geographe Bay,Geographe Bay,32,Curtin,Yes,No,NA,1 Left only,Multiple Use Zone,NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,58,-33.5697,115.3796,12/12/2014,13:02:00,Geographe Bay,Geographe Bay,13.5,Hayley,Yes,Yes,NA,3,National Park Zone,NA,No-take
2014-12_Geographe.Bay_stereoBRUVs,60,-33.3626,115.5049,11/12/2014,9:55:00,Geographe Bay,Geographe Bay,21.5,Hayley,Yes,Yes,NA,1,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,61,-33.4993,115.1345,9/12/2014,12:50:00,Geographe Bay,Geographe Bay,34.8,Hayley,Yes,Yes,NA,1,Multiple Use Zone,NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,62,-33.4505,115.3307,11/12/2014,6:24:00,Geographe Bay,Geographe Bay,29.3,Hayley,Yes,Yes,NA,2,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,63,-33.5039,115.2562,9/12/2014,6:29:00,Geographe Bay,Geographe Bay,30,Hayley,Yes,Yes,NA,2,Multiple Use Zone,NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,64,-33.4364,115.5095,11/12/2014,12:54:00,Geographe Bay,Geographe Bay,14.2,Hayley,Yes,Yes,NA,1,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,65,-33.3597,115.2048,10/12/2014,13:15:00,Geographe Bay,Geographe Bay,39.4,Hayley,Yes,Yes,NA,2,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,67,-33.4783,115.0859,13/12/2014,10:10:00,Geographe Bay,Geographe Bay,21.4,Hayley,Yes,Yes,NA,5,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,68,-33.3882,115.2426,41983,0.588194444,Geographe Bay,Geographe Bay,38.9,Molly,Yes,No,NA,2,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,69,-33.3534,115.404,11/12/2014,9:23:00,Geographe Bay,Geographe Bay,28.7,Hayley,Yes,Yes,NA,1,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,70,-33.4159,115.1514,10/12/2014,10:46:00,Geographe Bay,Geographe Bay,41,Hayley,Yes,Yes,NA,2,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,71,-33.4271,115.4287,13/12/2014,10:58:00,Geographe Bay,Geographe Bay,24.4,Logan,Yes,Yes,NA,5,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,72,-33.4625,115.3224,11/12/2014,6:07:00,Geographe Bay,Geographe Bay,29.4,Hayley,Yes,Yes,NA,2,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,73,-33.3718,115.1456,10/12/2014,10:10:00,Geographe Bay,Geographe Bay,41.5,Hayley,Yes,Yes,NA,2,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,75,-33.5893,115.2946,12/12/2014,8:52:00,Geographe Bay,Geographe Bay,16.6,Hayley,Yes,No,NA,2,Multiple Use Zone,NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,76,-33.413,115.2847,11/12/2014,7:01:00,Geographe Bay,Geographe Bay,35.2,Hayley,Yes,Yes,NA,2,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,77,-33.4558,115.1029,9/12/2014,13:50:00,Geographe Bay,Geographe Bay,40.8,Hayley,Yes,Yes,NA,1,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,78,-33.5076,115.4438,13/12/2014,6:18:00,Geographe Bay,Geographe Bay,13.4,Logan,Yes,Yes,NA,4,Multiple Use Zone,NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,79,-33.5874,115.2309,12/12/2014,8:16:00,Geographe Bay,Geographe Bay,18.5,Hayley,Yes,Yes,NA,2,Habitat Protection Zone,NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,81,-33.3788,115.2305,10/12/2014,14:18:00,Geographe Bay,Geographe Bay,38.9,Hayley,Yes,Yes,NA,2,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,82,-33.3955,115.1103,10/12/2014,7:49:00,Geographe Bay,Geographe Bay,42.6,Hayley,Yes,Yes,NA,1,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,83,-33.4694,115.3791,13/12/2014,10:26:00,Geographe Bay,Geographe Bay,24.6,Logan,Yes,No,NA,5,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,84,-33.3965,115.1924,10/12/2014,11:28:00,Geographe Bay,Geographe Bay,41,Hayley,Yes,Yes,NA,2,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,86,-33.5405,115.1785,9/12/2014,7:24:00,Geographe Bay,Geographe Bay,28.6,Hayley,Yes,Yes,NA,2,Multiple Use Zone,NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,87,-33.4896,115.4589,13/12/2014,7:49:00,Geographe Bay,Geographe Bay,13,Hayley,Yes,Yes,NA,3,Multiple Use Zone,NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,88,-33.5011,115.2145,9/12/2014,9:45:00,Geographe Bay,Geographe Bay,31.4,Hayley,Yes,Yes,NA,1,Multiple Use Zone,NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,89,-33.3828,115.0564,10/12/2014,6:58:00,Geographe Bay,Geographe Bay,43.9,Molly,Yes,Yes,NA,2,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,90,-33.5333,115.3225,12/12/2014,10:53:00,Geographe Bay,Geographe Bay,22,Hayley,Yes,No,NA,3,Multiple Use Zone,NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,91,-33.5396,115.2061,9/12/2014,6:54:00,Geographe Bay,Geographe Bay,29.8,Hayley,Yes,Yes,NA,1,Habitat Protection Zone,NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,92,-33.4176,115.315,11/12/2014,6:43:00,Geographe Bay,Geographe Bay,33,Hayley,Yes,Yes,NA,2,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,93,-33.4813,115.1528,9/12/2014,12:59:00,Geographe Bay,Geographe Bay,36,Curtin,Yes,No,NA,1,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,95,-33.5175,115.3155,12/12/2014,10:42:00,Geographe Bay,Geographe Bay,24.9,Hayley,Yes,Yes,NA,3,Multiple Use Zone,NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,96,-33.4489,115.4808,11/12/2014,13:04:00,Geographe Bay,Geographe Bay,15.9,Hayley,Yes,No,NA,1,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,97,-33.3847,115.2927,11/12/2014,8:43:00,Geographe Bay,Geographe Bay,35.6,Hayley,Yes,Yes,NA,2,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,98,-33.434,115.1727,10/12/2014,10:56:00,Geographe Bay,Geographe Bay,38,Curtin,Yes,No,NA,2,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,100,-33.4325,115.2142,10/12/2014,11:14:00,Geographe Bay,Geographe Bay,36.7,Molly,Yes,No,NA,2,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,102,-33.5185,115.1196,9/12/2014,12:39:00,Geographe Bay,Geographe Bay,34.4,Hayley,Yes,Yes,NA,1,Multiple Use Zone,NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,103,-33.4581,115.4547,11/12/2014,13:12:00,Geographe Bay,Geographe Bay,18.4,Hayley,Yes,Yes,NA,1,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,104,-33.4597,115.2451,9/12/2014,10:04:00,Geographe Bay,Geographe Bay,33.3,Molly,Yes,No,NA,1,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,107,-33.5833,115.1881,9/12/2014,9:25:00,Geographe Bay,Geographe Bay,29.3,Molly,Yes,No,NA,1,Multiple Use Zone,NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,108,-33.4691,115.1677,11/12/2014,6:47:00,Geographe Bay,Geographe Bay,34,Logan,Yes,Yes,NA,4,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,111,-33.5369,115.3219,12/12/2014,10:55:00,Geographe Bay,Geographe Bay,21.9,Logan,Yes,Yes,NA,3,Multiple Use Zone,NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,112,-33.4052,115.5224,11/12/2014,12:35:00,Geographe Bay,Geographe Bay,14.8,Hayley,Yes,Yes,NA,1,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,113,-33.3658,115.2779,10/12/2014,13:45:00,Geographe Bay,Geographe Bay,36.6,Curtin,Yes,Yes,NA,1L,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,114,-33.3984,115.1639,10/12/2014,10:20:00,Geographe Bay,Geographe Bay,39.7,Curtin,Yes,No,NA,1R,Special Purpose Zone (Mining Exclusion),NA,Fished
