OpCode	x.2.x	x.3.x	Relief0	Relief1	Relief2	Relief3	Relief4	x.2.y	x.3.y	fieldofview.Limited	fieldofview.Open	x.2	x.3	Consolidated	Macroalgae	Seagrasses	Stony.corals	Unconsolidated
416	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
428	NA	NA	0	0	5	0	0	NA	NA	0	20	NA	NA	0	5	0	0	0
432	NA	NA	0	3	7	0	0	NA	NA	0	20	NA	NA	0	2	5	0	3
439	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
442	NA	NA	0	0	13	0	0	NA	NA	0	20	NA	NA	0	8	5	0	0
443	NA	NA	0	0	9	0	0	NA	NA	0	19	NA	NA	0	0	8	0	1
448	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
451	NA	NA	0	0	11	0	0	NA	NA	0	20	NA	NA	0	0	8	0	3
455	NA	NA	0	7	3	0	0	NA	NA	0	20	NA	NA	0	0	3	0	7
458	NA	NA	0	0	10	0	0	NA	NA	0	19	NA	NA	0	0	10	0	0
463	NA	NA	0	0	7	0	0	NA	NA	0	20	NA	NA	0	0	0	0	7
474	NA	NA	0	0	9	0	0	NA	NA	0	20	NA	NA	0	9	0	0	0
480	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
490	NA	NA	0	0	5	0	0	NA	NA	0	20	NA	NA	0	5	0	0	0
492	NA	NA	0	0	15	0	0	NA	NA	0	20	NA	NA	0	0	0	0	15
496	NA	NA	0	0	7	0	0	NA	NA	0	20	NA	NA	0	1	5	0	1
499	NA	NA	0	0	12	0	0	NA	NA	0	20	NA	NA	0	0	12	0	0
503	NA	NA	0	0	8	0	0	NA	NA	0	20	NA	NA	0	0	5	0	3
506	NA	NA	0	0	9	0	0	NA	NA	0	20	NA	NA	0	9	0	0	0
512	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	2	0	0	8
523	NA	NA	0	1	9	0	0	NA	NA	0	20	NA	NA	0	0	9	0	1
527	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
528	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	6	4	0	0
538	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	7	0	3
543	NA	NA	0	0	20	0	0	NA	NA	0	20	NA	NA	0	20	0	0	0
544	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	8	0	2
551	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
554	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
560	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	5	0	5
567	NA	NA	0	0	11	0	0	NA	NA	0	20	NA	NA	0	0	10	0	1
570	NA	NA	0	2	8	0	0	NA	NA	0	20	NA	NA	0	0	8	0	2
572	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
579	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
583	NA	NA	0	0	11	0	0	NA	NA	0	20	NA	NA	0	8	3	0	0
586	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	8	0	2
587	NA	NA	0	0	9	0	0	NA	NA	0	20	NA	NA	0	0	9	0	0
592	NA	NA	0	1	9	0	0	NA	NA	0	20	NA	NA	0	0	9	0	1
599	NA	NA	0	0	11	0	0	NA	NA	0	20	NA	NA	0	5	6	0	0
602	NA	NA	0	1	7	0	0	NA	NA	0	20	NA	NA	0	0	7	0	1
608	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	2	8	0	0
611	NA	NA	0	0	7	0	0	NA	NA	0	19	NA	NA	0	7	0	0	0
615	NA	NA	0	0	7	0	0	NA	NA	0	20	NA	NA	0	0	7	0	0
618	NA	NA	0	0	9	0	0	NA	NA	0	19	NA	NA	0	5	4	0	0
623	NA	NA	0	0	9	0	0	NA	NA	0	20	NA	NA	0	0	9	0	0
624	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	5	5	0	0
631	NA	NA	0	0	6	0	0	NA	NA	0	20	NA	NA	0	4	2	0	0
633	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	6	4	0	0
634	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	5	5	0	0
635	NA	NA	0	1	9	0	0	NA	NA	0	20	NA	NA	0	1	8	0	1
640	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
647	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
650	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	1	9	0	0
655	NA	NA	0	1	9	0	0	NA	NA	1	19	NA	NA	0	2	7	0	1
656	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
666	NA	NA	0	2	4	0	0	NA	NA	0	20	NA	NA	0	0	4	0	2
672	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
679	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	1	0	0	9
682	NA	NA	0	0	0	10	0	NA	NA	0	20	NA	NA	0	10	0	0	0
684	NA	NA	0	10	0	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
688	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
694	NA	NA	0	0	10	0	0	NA	NA	1	19	NA	NA	0	3	7	0	0
698	NA	NA	0	0	7	0	0	NA	NA	0	20	NA	NA	0	0	7	0	0
704	NA	NA	0	0	5	0	0	NA	NA	0	20	NA	NA	0	0	5	0	0
711	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	5	0	5
714	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	4	0	6
719	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
720	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
735	NA	NA	0	10	0	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
736	NA	NA	0	0	7	0	0	NA	NA	0	20	NA	NA	0	1	3	0	3
746	NA	NA	0	0	5	0	0	NA	NA	0	20	NA	NA	0	0	0	0	5
748	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	7	3	0	0
752	NA	NA	0	0	8	0	0	NA	NA	0	20	NA	NA	0	0	3	0	5
755	NA	NA	0	0	7	0	0	NA	NA	0	20	NA	NA	0	5	2	0	0
759	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
762	NA	NA	0	0	0	15	0	NA	NA	0	19	NA	NA	0	15	0	0	0
764	NA	NA	0	0	3	0	0	NA	NA	0	20	NA	NA	0	0	3	0	0
779	NA	NA	0	0	7	0	0	NA	NA	0	20	NA	NA	0	2	5	0	0
782	NA	NA	0	0	6	0	0	NA	NA	0	20	NA	NA	0	0	6	0	0
783	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	6	0	4
784	NA	NA	0	0	5	0	0	NA	NA	0	20	NA	NA	0	0	5	0	0
791	NA	NA	0	0	5	0	0	NA	NA	0	20	NA	NA	0	5	0	0	0
794	NA	NA	0	0	5	0	0	NA	NA	0	20	NA	NA	0	0	5	0	0
800	NA	NA	0	0	13	0	0	NA	NA	0	20	NA	NA	0	6	3	0	4
807	NA	NA	0	0	9	0	0	NA	NA	0	20	NA	NA	0	0	9	0	0
810	NA	NA	0	0	5	0	0	NA	NA	0	20	NA	NA	0	0	5	0	0
