OpCode	Camera	MovieSeqIndex	StartTimeOffset	Format	Filename	Frames	Rate
CF5-1	1	0	0.00000	1	CF5-1_R8_GX010007.MP4	265925	59.94006
CF5-2	0	0	0.00000	1	CF5-2_L5_GX010011_1.MP4	222720	59.94018
CF5-2	0	0	0.00000	1	CF5-2_L5_GX020011_2.MP4	44941	59.94018
CF5-2	1	0	0.00000	1	CF5-2_R5_GX010015_1.MP4	241920	59.94006
CF5-2	1	0	0.00000	1	CF5-2_R5_GX020015_2.MP4	28009	59.94006
CF5-3	0	0	0.00000	1	CF5-3_L4_GX010017_1.MP4	226560	59.94018
CF5-3	0	0	0.00000	1	CF5-3_L4_GX020017_2.MP4	26139	59.94018
CF5-3	1	0	0.00000	1	CF5-3_R4_GX010016_1.MP4	234240	59.94006
CF5-3	1	0	0.00000	1	CF5-3_R4_GX020016_2.MP4	17068	59.94006
CF5-4	0	0	0.00000	1	CF5-4_L9_GX010016_1.MP4	199680	59.94018
CF5-4	0	0	0.00000	1	CF5-4_L9_GX020016_2.MP4	46362	59.94018
CF5-4	1	0	0.00000	1	CF5-4_R9_GX010013_1.MP4	199680	59.94006
CF5-4	1	0	0.00000	1	CF5-4_R9_GX020013_2.MP4	47434	59.94006
CF5-5	0	0	0.00000	1	CF5-5_L2_GX010016.MP4	257482	59.94018
CF5-5	1	0	0.00000	1	CF5-5_R2_GX010012.MP4	257697	59.94006
CF6-1	0	0	0.00000	1	CF6-1_L5_GX010010_1.MP4	272641	59.94018
CF6-1	0	0	0.00000	1	CF6-1_L5_GX020010_2.MP4	39628	59.94018
CF6-1	1	0	0.00000	1	CF6-1_R5_GX010014_1.MP4	264960	59.94006
CF6-1	1	0	0.00000	1	CF6-1_R5_GX020014_2.MP4	45196	59.94006
CF6-2	0	0	0.00000	1	CF6-2_L6_GX010019_1.MP4	291841	59.94018
CF6-2	0	0	0.00000	1	CF6-2_L6_GX020019_2.MP4	13919	59.94018
CF6-2	1	0	0.00000	1	CF6-2_R6_GX010027_1.MP4	291840	59.94006
CF6-2	1	0	0.00000	1	CF6-2_R6_GX020027_2.MP4	15970	59.94006
CF6-3	0	0	0.00000	1	CF6-3_L3_GX010012_1.MP4	195840	59.94018
CF6-3	0	0	0.00000	1	CF6-3_L3_GX020012_2.MP4	115373	59.94018
CF6-3	1	0	0.00000	1	CF6-3_R3_GX010013_1.MP4	195840	59.94006
CF6-3	1	0	0.00000	1	CF6-3_R3_GX020013_2.MP4	117509	59.94006
CF6-4	0	0	0.00000	1	CF6-4_L10__GX010016_1.MP4	291841	59.94018
CF6-4	0	0	0.00000	1	CF6-4_L10__GX020016_2.MP4	18014	59.94018
CF6-4	1	0	0.00000	1	CF6-4_R10__GX010013_1.MP4	291840	59.94006
CF6-4	1	0	0.00000	1	CF6-4_R10__GX020013_2.MP4	16339	59.94006
CF6-5	0	0	0.00000	1	CF6-5_L7_GX010009_1.MP4	291841	59.94018
CF6-5	0	0	0.00000	1	CF6-5_L7_GX020009_2.MP4	16828	59.94018
CF6-5	1	0	0.00000	1	CF6-5_R7_GX010012_1.MP4	291840	59.94006
CF6-5	1	0	0.00000	1	CF6-5_R7_GX020012_2.MP4	19097	59.94006
CF7-1	0	0	0.00000	1	CF7-1_L2_GX010015_1.MP4	199680	59.94018
CF7-1	0	0	0.00000	1	CF7-1_L2_GX020015_2.MP4	97103	59.94018
CF7-1	1	0	0.00000	1	CF7-1_R2_GX010011_1.MP4	195840	59.94006
CF7-1	1	0	0.00000	1	CF7-1_R2_GX020011_2.MP4	98911	59.94006
CF7-2	0	0	0.00000	1	CF7-2_L9_GX010014.MP4	271156	59.94018
CF7-2	1	0	0.00000	1	CF7-2_R9_GX010012.MP4	272169	59.94006
CF7-3	0	0	0.00000	1	CF7-3_L4_GX010016.MP4	263403	59.94018
CF7-3	1	0	0.00000	1	CF7-3_R4_GX010015.MP4	268805	59.94006
CF7-4	0	0	0.00000	1	CF7-4_L1_GX010016_1.MP4	192000	59.94018
CF7-4	0	0	0.00000	1	CF7-4_L1_GX020016_2.MP4	103559	59.94018
CF7-4	1	0	0.00000	1	CF7-4_R1_GX010015_1.MP4	192000	59.94006
CF7-4	1	0	0.00000	1	CF7-4_R1_GX020015_2.MP4	103197	59.94006
CF7-5	0	0	0.00000	1	CF7-5_L8_GX010012_1.MP4	195840	59.94018
