OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
CF1-4	6	0	1708.29151	605.62295	1672.09594	587.37705
CF1-4	6	1	1507.55351	536.57377	1468.70111	519.50820
CF1-4	7	0	686.27306	392.01639	643.09594	405.47541
CF1-4	7	1	599.18819	352.18033	559.84871	376.85246
CF1-4	8	0	338.81181	209.29508	296.67897	254.01639
CF1-4	8	1	107.07749	154.11475	84.13284	219.78689
CF1-4	9	0	1238.30627	716.29508	1166.36162	713.29508
CF1-4	9	1	1313.87823	722.78689	1227.76384	721.55738
CF1-4	10	0	1320.34686	80.26230	1186.15129	69.63934
CF1-4	10	1	1477.69004	27.44262	1324.89668	5.01639
CF1-4	11	0	854.57565	224.60656	688.52768	234.62295
CF1-4	11	1	730.59041	87.09836	551.84871	107.44262
CF1-4	12	0	1139.47601	240.42623	1185.16974	226.31148
CF1-4	12	1	1080.73063	205.01639	1119.04428	194.14754
CF1-4	13	0	1097.19926	520.40984	1098.30258	514.96721
CF1-4	13	1	1142.95572	488.54098	1147.01107	482.50820
CF1-4	14	0	887.26568	464.85246	895.56089	467.39344
CF1-4	14	1	933.90775	434.16393	941.61255	437.00000
CF1-4	15	0	376.11070	559.95082	420.02214	570.49180
CF1-4	15	1	455.22509	539.29508	487.32841	549.24590
CF1-4	16	0	1431.14391	626.75410	498.30258	611.40984
CF1-4	17	0	375.69373	694.16393	357.70849	706.22951
CF1-4	17	1	230.74908	725.14754	213.94465	738.39344
CF1-4	18	0	215.77860	583.44262	243.64576	598.22951
CF1-4	18	1	278.95203	553.93443	297.96310	570.19672
CF1-4	19	0	843.09963	580.72131	544.35424	580.72131
CF1-4	19	1	651.80812	553.57377	312.91513	566.55738
CF1-4	20	0	650.22878	713.00000	365.24723	729.59016
CF1-4	20	1	715.76384	742.50820	418.97417	754.08197
CF1-4	21	0	1272.03690	630.29508	1328.87823	644.31148
CF1-4	21	1	1361.18819	650.36066	1414.19188	660.54098
CF1-4	22	0	1089.12915	561.62295	1104.05535	562.19672
CF1-4	22	1	984.33210	555.13115	1008.40959	563.96721
