OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
EGB1-5	Nidhi Menon	10		Date	16/02/2024	Time	8:01:28	Location	Ngari Capes	Site	EGB1	Status	Fished	Latitude	-33.544133	Longitude	115.4385019	Visibility	
EGB2-1	Nidhi Menon	10		Date	16/02/2024	Time	8:06:52	Location	Ngari Capes	Site	EGB2	Status	Fished	Latitude	-33.55358215	Longitude	115.4320331	Visibility	
EGB2-2	Nidhi Menon	10		Date	16/02/2024	Time	8:09:46	Location	Ngari Capes	Site	EGB2	Status	Fished	Latitude	-33.55264123	Longitude	115.4356611	Visibility	
EGB2-3	Nidh Menon	11		Date	16/02/2024	Time	08:13:19	Location	Ngari Capes	Site	EGB2	Status	Fished	Latitude	-33.55161108	Longitude	115.4298323	Visibility	
EGB2-4	Nidhi Menon	10		Date	16/02/2024	Time	8:17:44	Location	Ngari Capes	Site	EGB2	Status	Fished	Latitude	-33.5499871	Longitude	115.4366481	Visibility	
EGB2-5	Nidhi Menon	11		Date	16/02/2024	Time	8:20:38	Location	Ngari Capes	Site	EGB2	Status	Fished	Latitude	-33.54825213	Longitude	115.4334449	Visibility	
EGB3-1	Nidhi Menon	10		Date	16/02/2024	Time	9:36:30	Location	Ngari Capes	Site	EGB3	Status	No-take	Latitude	-33.56581203	Longitude	115.4207646	Visibility	
EGB3-2	Nidhi Menon	10		Date	16/02/2024	Time	9:39:29	Location	Ngari Capes	Site	EGB3	Status	No-take	Latitude	-33.56324325	Longitude	115.4204045	Visibility	
EGB3-3	Nidhi Menon	10		Date	16/02/2024	Time	14:17:27	Location	Ngari Capes	Site	EGB3	Status	No-take	Latitude	-33.56156818	Longitude	115.4222232	Visibility	
EGB3-4	Nidhi Menon	10		Date	16/02/2024	Time	14:20:01	Location	Ngari Capes	Site	EGB3	Status	No-take	Latitude	-33.56308675	Longitude	115.4258088	Visibility	
EGB3-5	Nidhi Menon	9		Date	16/02/2024	Time	9:46:30	Location	Ngari Capes	Site	EGB3	Status	No-take	Latitude	-33.56512448	Longitude	115.425212	Visibility	
EGB5-1		10		Date	16/02/2024	Time	9:53:03	Location	Ngari Capes	Site	EGB5	Status	No-take	Latitude	-33.57793092	Longitude	115.4119695	Visibility	
EGB5-2		10		Date	16/02/2024	Time	9:55:34	Location	Ngari Capes	Site	EGB5	Status	No-take	Latitude	-33.57556252	Longitude	115.4119314	Visibility	
EGB5-3	Nidhi Menon	10		Date	16/02/2024	Time	9:58:02	Location	Ngari Capes	Site	EGB5	Status	No-take	Latitude	-33.57811143	Longitude	115.4150233	Visibility	
EGB5-4	Nidhi Menon	10		Date	16/02/2024	Time	10:01:07	Location	Ngari Capes	Site	EGB5	Status	No-take	Latitude	-33.577856	Longitude	115.409046	Visibility	
EGB5-5	Nidhi Menon	9		Date	16/02/2024	Time	10:03:36	Location	Ngari Capes	Site	EGB5	Status	No-take	Latitude	-33.5802932	Longitude	115.4119596	Visibility	
EGB6-1	Nidhi Menon	10		Date	16/02/2024	Time	11:34:29	Location	Ngari Capes	Site	EGB6	Status	Fished	Latitude	-33.59721683	Longitude	115.396083	Visibility	
EGB6-2	Nidhi Menon	9		Date	16/02/2024	Time	11:36:52	Location	Ngari Capes	Site	EGB6	Status	Fished	Latitude	-33.60053695	Longitude	115.3964731	Visibility	
EGB6-3	Nidhi Menon	9		Date	16/02/2024	Time	11:40:47	Location	Ngari Capes	Site	EGB6	Status	Fished	Latitude	-33.60189265	Longitude	115.3921409	Visibility	
EGB6-4	Nidhi Menon	9		Date	16/02/2024	Time	11:43:54	Location	Ngari Capes	Site	EGB6	Status	Fished	Latitude	-33.59827425	Longitude	115.3892996	Visibility	
EGB6-5	Nidhi Menon	10		Date	16/02/2024	Time	11:55:06	Location	Ngari Capes	Site	EGB6	Status	Fished	Latitude	-33.5947719	Longitude	115.3922396	Visibility	
EGB7-1	Nidhi Menon	5		Date	16/02/2024	Time	12:02:12	Location	Ngari Capes	Site	EGB7	Status	Fished	Latitude	-33.60895527	Longitude	115.3747124	Visibility	
EGB7-2	Nidhi Menon	9		Date	16/02/2024	Time	12:05:00	Location	Ngari Capes	Site	EGB7	Status	Fished	Latitude	-33.60517108	Longitude	115.3736669	Visibility	
EGB7-3	Nidhi Menon	9		Date	16/02/2024	Time	12:13:15	Location	Ngari Capes	Site	EGB7	Status	Fished	Latitude	-33.60275858	Longitude	115.3755229	Visibility	
EGB7-4		9		Date	16/02/2024	Time	12:16:10	Location	Ngari Capes	Site	EGB7	Status	Fished	Latitude	-33.60409267	Longitude	115.3796645	Visibility	
EGB7-5	Nidhi Menon	9		Date	16/02/2024	Time	12:18:42	Location	Ngari Capes	Site	EGB7	Status	Fished	Latitude	-33.60739777	Longitude	115.3798611	Visibility	
INB1-1	Nidhi Menon	26		Date	15/02/2024	Time	7:34:17	Location	Ngari Capes	Site	INB1	Status	Fished	Latitude	-33.66334587	Longitude	114.9891044	Visibility	
INB1-2	Belle Mullins	23		Date	15/02/2024	Time	7:38:24	Location	Ngari Capes	Site	INB1	Status	Fished	Latitude	-33.6633535	Longitude	114.9931961	Visibility	
INB1-3	Nidhi Menon	31		Date	15/02/2024	Time	7:44:01	Location	Ngari Capes	Site	INB1	Status	Fished	Latitude	-33.66432223	Longitude	114.9865579	Visibility	
INB1-4	Nidhi Menon	17		Date	15/02/2024	Time	7:49:24	Location	Ngari Capes	Site	INB1	Status	Fished	Latitude	-33.66038885	Longitude	114.9935844	Visibility	
INB1-5	Nidhi Menon	22		Date	15/02/2024	Time	7:53:15	Location	Ngari Capes	Site	INB1	Status	Fished	Latitude	-33.66479315	Longitude	114.9904892	Visibility	
INB2-1	Nidhi Menon	28		Date	15/02/2024	Time	7:58:29	Location	Ngari Capes	Site	INB2	Status	Fished	Latitude	-33.66957188	Longitude	114.9817671	Visibility	
INB2-2	Nidhi Menon	32		Date	15/02/2024	Time	8:02:24	Location	Ngari Capes	Site	INB2	Status	Fished	Latitude	-33.67133987	Longitude	114.9817064	Visibility	
INB2-3	Nidhi Menon	24		Date	15/02/2024	Time	8:07:07	Location	Ngari Capes	Site	INB2	Status	Fished	Latitude	-33.67038782	Longitude	114.9844034	Visibility	
INB2-4	Nidhi Menon	21		Date	15/02/2024	Time	8:10:59	Location	Ngari Capes	Site	INB2	Status	Fished	Latitude	-33.67260938	Longitude	114.9851433	Visibility	
INB2-5	Nidhi Menon	22		Date	15/02/2024	Time	8:14:32	Location	Ngari Capes	Site	INB2	Status	Fished	Latitude	-33.66864693	Longitude	114.9857389	Visibility	
INB3-1	Nidhi Menon	26		Date	15/02/2024	Time	9:32:14	Location	Ngari Capes	Site	INB3	Status	No-take	Latitude	-33.6830999	Longitude	114.9766521	Visibility	
INB3-2	Nidhi Menon	28		Date	15/02/2024	Time	9:35:37	Location	Ngari Capes	Site	INB3	Status	No-take	Latitude	-33.6810749	Longitude	114.9779545	Visibility	
INB3-3	Nidhi Menon	23		Date	15/02/2024	Time	9:39:07	Location	Ngari Capes	Site	INB3	Status	No-take	Latitude	-33.68069527	Longitude	114.9742801	Visibility	
