opcode,latitude_dd,longitude_dd,date_time,site,location,status,depth_m,successful_count,successful_length,observer_count,observer_length,visibility_m,observer_habitat_forward,successful_habitat_forward,dbca_zone,dbca_sanctuary,campaign_id
EGB6-4,-33.59827425,115.3892996,2024-02-16T11:43:54+8:00,EGB6,Ngari Capes,Fished,9,Yes,Yes,NM,NM,,NM,Yes,General Use,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB6-5,-33.5947719,115.3922396,2024-02-16T11:55:06+8:00,EGB6,Ngari Capes,Fished,10,Yes,Yes,NM,NM,,NM,Yes,General Use,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB7-1,-33.60895527,115.3747124,2024-02-16T12:02:12+8:00,EGB7,Ngari Capes,Fished,5,Yes,Yes,NM,NM,,NM,Yes,General Use,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB7-2,-33.60517108,115.3736669,2024-02-16T12:05:00+8:00,EGB7,Ngari Capes,Fished,9,Yes,Yes,NM,NM,,NM,Yes,General Use,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB7-3,-33.60275858,115.3755229,2024-02-16T12:13:15+8:00,EGB7,Ngari Capes,Fished,9,Yes,Yes,NM,NM,,NM,Yes,General Use,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB7-4,-33.60409267,115.3796645,2024-02-16T12:16:10+8:00,EGB7,Ngari Capes,Fished,9,No,No,,,,,,General Use,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB7-5,-33.60739777,115.3798611,2024-02-16T12:18:42+8:00,EGB7,Ngari Capes,Fished,9,Yes,Yes,NM,NM,,NM,Yes,General Use,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB1-1,-33.54532067,115.44187,2024-02-16T14:02:11+8:00,EGB1,Ngari Capes,Fished,10,Yes,Yes,NM,NM,,NM,Yes,General Use,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB1-4,-33.54151265,115.4446409,2024-02-16T14:05:14+8:00,EGB1,Ngari Capes,Fished,10,Yes,Yes,NM,NM,,NM,Yes,General Use,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB2-3,-33.55159487,115.4299389,2024-02-16T14:11:57+8:00,EGB2,Ngari Capes,Fished,11,Yes,Yes,NM,NM,,NM,Yes,General Use,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB3-3,-33.56156818,115.4222232,2024-02-16T14:17:27+8:00,EGB3,Ngari Capes,No-take,10,Yes,Yes,NM,NM,,NM,Yes,Sanctuary,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB3-4,-33.56308675,115.4258088,2024-02-16T14:20:01+8:00,EGB3,Ngari Capes,No-take,10,Yes,Yes,NM,NM,,NM,Yes,Sanctuary,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CNB6-1,-33.54810065,114.9985885,2024-02-17T07:43:53+8:00,CNB6,Ngari Capes,Fished,26,No,No,,,,,,General Use,Cape Naturaliste,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CNB6-2,-33.54598377,114.9982838,2024-02-17T07:47:49+8:00,CNB6,Ngari Capes,Fished,25,Yes,Yes,NM,NM,,NM,Yes,General Use,Cape Naturaliste,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CNB6-3,-33.54518875,114.995907,2024-02-17T07:51:09+8:00,CNB6,Ngari Capes,Fished,28,Yes,Yes,NM,NM,,NM,Yes,General Use,Cape Naturaliste,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CNB6-4,-33.54530572,115.0005619,2024-02-17T07:55:19+8:00,CNB6,Ngari Capes,Fished,21,Yes,Yes,NM,NM,,NM,Yes,General Use,Cape Naturaliste,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CNB6-5,-33.54355242,114.9983536,2024-02-17T07:58:04+8:00,CNB6,Ngari Capes,Fished,25,Yes,Yes,NM,NM,,NM,Yes,General Use,Cape Naturaliste,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CNB7-1,-33.55392427,114.9992392,2024-02-17T08:03:46+8:00,CNB7,Ngari Capes,Fished,28,Yes,Yes,NM,NM,,NM,Yes,General Use,Cape Naturaliste,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CNB7-2,-33.55479127,114.9971649,2024-02-17T08:06:44+8:00,CNB7,Ngari Capes,Fished,33,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Naturaliste,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CNB7-3,-33.5561482,114.9994033,2024-02-17T08:10:29+8:00,CNB7,Ngari Capes,Fished,27,No,No,,,,,,General Use,Cape Naturaliste,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CNB7-4,-33.55373978,115.0014475,2024-02-17T08:14:11+8:00,CNB7,Ngari Capes,Fished,42,No,No,,,,,,General Use,Cape Naturaliste,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CNB7-5,-33.55231843,114.9987839,2024-02-17T08:16:58+8:00,CNB7,Ngari Capes,Fished,28,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Naturaliste,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CNB7-4,-33.55370123,115.0014536,2024-02-17T09:49:37+8:00,CNB7,Ngari Capes,Fished,42,Yes,Yes,NM,NM,,NM,Yes,General Use,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CNB7-3,-33.55610037,114.9994381,2022-02-17T09:56:15+8:00,CNB7,Ngari Capes,Fished,27,Yes,No,NM,,,NM,Yes,General Use,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CNB6-1,-33.54810528,114.9986138,2024-02-17T10:06:37+8:00,CNB6,Ngari Capes,Fished,25,Yes,Yes,NM,NM,,NM,Yes,General Use,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF1-2,-34.03477328,114.9618176,2024-02-17T13:41:56+8:00,CF1,Ngari Capes,Fished,35,Yes,No,BM,,,NM,Yes,General Use,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF1-1,-34.03173347,114.9630679,2024-02-17T13:45:47+8:00,CF1,Ngari Capes,Fished,34,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF1-5,-34.0314446,114.9672181,2024-02-17T13:50:21+8:00,CF1,Ngari Capes,Fished,23,Yes,No,BM,,,NM,Yes,General Use,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF1-4,-34.03049647,114.9596724,2024-02-17T13:55:35+8:00,CF1,Ngari Capes,Fished,35,Yes,Yes,NM,NM,,NM,Yes,General Use,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF1-3,-34.02833703,114.9645395,2024-02-17T13:59:40+8:00,CF1,Ngari Capes,Fished,33,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CF7-3,-34.1458502,114.981461,2024-02-18T07:41:14+8:00,CF7,Ngari Capes,Fished,32,Yes,Yes,BM,NM,,NM,Yes,General Use,Cape Freycinet,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
