OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
EGB6-4	0	P75	EGB6-4_L8_GX010009.MP4	6827	1.89828	EGB6-4_L8_GX010009.MP4	222820	61.95622	1
EGB6-5	0	P76	EGB6-5_L3_GX010011.MP4	6351	1.76593	EGB6-5_L3_GX010011.MP4	184087	51.18631	1
EGB7-1	0	P77	EGB7-1_L4_GX010010.MP4	24406	6.78621	EGB7-1_L4_GX010010.MP4	240478	66.86611	1
EGB7-2	0	P78	EGB7-2_L7_GX010006.MP4	8175	2.27310	EGB7-2_L7_GX010006.MP4	224198	62.33937	1
EGB7-3	0	P79	EGB7-3_L10__GX010013.MP4	8907	2.47664	EGB7-3_L10__GX010013.MP4	224770	62.49842	1
EGB7-5	0	P80	EGB7-5_L6_GX010016.MP4	4458	1.23957	EGB7-5_L6_GX010016.MP4	220435	61.29305	1
INB1-1	0	P22	INB1-1_L5_GX010004.MP4	9916	2.75719	INB1-1_L5_GX010004.MP4	226883	63.08595	1
INB1-2	0	60	INB1-2_L6_GX010010_1.MP4	5864	1.63052	INB1-2_L6_GX010010_2.MP4	29649	61.63074	1
INB1-3	0	P81	INB1-3_R3_GX010005.MP4	9811	2.72800	INB1-3_R3_GX010005.MP4	225836	62.79483	1
INB1-4	0	P81	INB1-4_L8_GX010004_1.MP4	8867	2.46551	INB1-4_L8_GX020004_2.MP4	25063	62.49091	1
INB1-5	0	P24	INB1-5_L4_GX010004_1.MP4	9131	2.53892	INB1-5_L4_GX020004_2.MP4	29482	62.65191	1
INB2-1	0	P24	INB2-1_L1_GX010006_1.MP4	13096	3.64141	INB2-1_L1_GX020006_2.MP4	37512	63.81696	1
INB2-2	0	P26	INB2-2_L10__GX010007_1.MP4	10060	2.79723	INB2-2_L10__GX020007_2.MP4	34206	62.89771	1
INB2-3	0	P27	INB2-3_L9_GX010004_1.MP4	15004	4.17194	INB2-3_L9_GX020004_2.MP4	35843	64.42062	1
INB2-4	0	P82	INB2-4_L7_GX010007_1.MP4	11494	3.19596	INB2-4_L7_GX020007_2.MP4	31787	63.29283	1
INB2-5	0	P28	INB2-5_L2_GX010006_1.MP4	11452	3.18429	INB2-5_L2_GX020006_2.MP4	32828	63.58228	1
INB3-1	0	P29	INB3-1_L2_GX010007_1.MP4	13263	3.68784	INB3-1_L2_GX020007_2.MP4	38451	64.07805	1
INB3-2	0	P84	INB3-2_L9_GX010005_1.MP4	8853	2.46162	INB3-2_L9_GX020005_2.MP4	28987	62.51427	1
INB3-3	0	P30	INB3-3_L10__GX010008_1.MP4	10672	2.96740	INB3-3_L10__GX020008_2.MP4	34933	63.09986	1
INB3-4	0	P31	INB3-4_L1_GX010007_1.MP4	9540	2.65264	INB3-4_L1_GX020007_2.MP4	22092	62.73254	1
INB3-5	0	P32	INB3-5_L4_GX010005_1.MP4	9891	2.75024	INB3-5_L4_GX010005_1.MP4	226246	62.90883	1
INB4-1	0	P85	INB4-1_L8_GX010005_1.MP4	10571	2.93932	INB4-1_L8_GX020005_2.MP4	19078	62.96222	1
INB4-2	0	P86	INB4-2_R3_GX010006.MP4	10649	2.96101	INB4-2_R3_GX010006.MP4	226668	63.02617	1
INB4-3	0	P33	INB4-3_L6_GX010011_1.MP4	7875	2.18968	INB4-3_L6_GX020011_2.MP4	28081	62.26235	1
INB4-4	0	P33	INB4-4_L5_GX010005_1.MP4	13853	3.85190	INB4-4_L5_GX010005_1.MP4	230467	64.08250	1
INB4-5	0	P35	INB4-5_L7_GX010001_1.MP4	14083	3.91585	INB4-5_L7_GX020001_2.MP4	34625	64.08195	1
INB5-1	0	P36	INB5-1_L6_GX010012.MP4	10894	3.02913	INB5-1_L6_GX010012.MP4	226885	63.08651	1
INB5-2	0	P37	INB5-2_L3_GX010008.MP4	9389	2.61066	INB5-2_L3_GX010008.MP4	225437	62.68389	1
INB5-3	0	38	INB5-3_L9_GX010006.MP4	8010	2.22722	INB5-3_L9_GX010006.MP4	224414	62.39943	1
INB5-5	0	P40	INB5-5_L7_GX010002.MP4	6231	1.73256	INB5-5_L7_GX010002.MP4	222056	61.74378	1
INB6-1	0	60	INB6-1_R5_GX010007_1.MP4	6479	1.80152	INB6-1_R5_GX010007_1.MP4	222264	61.80162	1
INB6-2	0	P41	INB6-2_L8_GX010006_1.MP4	10539	2.93042	INB6-2_L8_GX020006_2.MP4	23319	63.07372	1
INB6-3	0	P42	INB6-3_L4_GX010006_1.MP4	5654	1.57212	INB6-3_L4_GX020006_2.MP4	18053	61.60948	1
INB6-4	0	P43	INB6-4_L1_GX010008_1.MP4	10844	3.01523	INB6-4_L1_GX020008_2.MP4	31435	63.19495	1
INB6-5	0	P44	INB6-5_L10__GX010009_1.MP4	9791	2.72244	INB6-5_L10__GX020009_2.MP4	30478	62.92885	1
INB7-1	0	P45	INB7-1_L6_GX010013.MP4	8991	2.49999	INB7-1_L6_GX010013.MP4	224980	62.55681	1
INB7-2	0	P46	INB7-2_L7_GX010003.MP4	13869	3.85634	INB7-2_L7_GX010003.MP4	230108	63.98268	1
INB7-3	0	P47	INB7-3_L2_GX010009_1.MP4	11025	3.06556	INB7-3_L2_GX020009_2.MP4	31287	63.15380	1
INB7-4	0	P47	INB7-4_L9_GX010007.MP4	7128	1.98198	INB7-4_L9_GX010007.MP4	223423	62.12388	1
INB7-5	0	P48	INB7-5_L3_GX010009_1.MP4	7903	2.19747	INB7-5_L3_GX020009_2.MP4	27957	62.22787	1
