"","longitude_dd","latitude_dd","sample_url","sample","date_time","depth_m","status","site","location","annotation_parameters","observer_count","observer_length","observer_habitat_downward","observer_habitat_forward","observer_habitat_backward","observer_habitat_panoramic","successful_count","successful_length","successful_habitat_downward","successful_habitat_forward","successful_habitat_backward","successful_habitat_panoramic","map_marker_colour_rgb","synthesis","campaignid","derived_from_sample"
"32",114.9772654,-34.14774033,"https://dev.globalarchive.org/api/data/SynthesisSample/1739621/?format=feather","CF7_2",2019-02-14 01:00:00,34,"Fished","Cf7","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"33",114.9814986,-34.14580897,"https://dev.globalarchive.org/api/data/SynthesisSample/1739622/?format=feather","CF7_3",2019-02-14 01:00:00,32,"Fished","Cf7","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"34",114.973575,-34.14459628,"https://dev.globalarchive.org/api/data/SynthesisSample/1739623/?format=feather","CF7_4",2019-02-14 01:00:00,35.2,"Fished","Cf7","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/456/?format=feather","https://dev.globalarchive.org/api/data/Annotator/456/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"35",114.9792192,-34.14149707,"https://dev.globalarchive.org/api/data/SynthesisSample/1739624/?format=feather","CF7_5",2019-02-14 01:00:00,34.8,"Fished","Cf7","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"36",115.0641144,-34.35731247,"https://dev.globalarchive.org/api/data/SynthesisSample/1739625/?format=feather","CL1_1",2019-02-13,27,"Fished","Cl1","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"37",115.0617502,-34.35540886,"https://dev.globalarchive.org/api/data/SynthesisSample/1739626/?format=feather","CL1_2",2019-02-13,28,"Fished","Cl1","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"38",115.0615428,-34.35848401,"https://dev.globalarchive.org/api/data/SynthesisSample/1739627/?format=feather","CL1_3",2019-02-13,30,"Fished","Cl1","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"39",115.0657874,-34.3553444,"https://dev.globalarchive.org/api/data/SynthesisSample/1739628/?format=feather","CL1_4",2019-02-13,22,"Fished","Cl1","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"40",115.0672237,-34.35758119,"https://dev.globalarchive.org/api/data/SynthesisSample/1739629/?format=feather","CL1_5",2019-02-13,24,"Fished","Cl1","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"41",115.0730398,-34.36449895,"https://dev.globalarchive.org/api/data/SynthesisSample/1739630/?format=feather","CL2_1",2019-02-13,27,"Fished","Cl2","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/456/?format=feather","https://dev.globalarchive.org/api/data/Annotator/456/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
