OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
SWC-BV-161	1.09	2025 03 07 10:57:50	D:\20241026\	SWC-BV-161.EMObs
SWC-BV-162	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241026\BRUV 4\	SWC-BV-162.EMObs
SWC-BV-163	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241028\BRUV 5\	SWC-BV-163.EMObs
SWC-BV-164	1.09	2025 03 07 10:57:50	D:\20241025\BRUV 2\	SWC-BV-164.EMObs
SWC-BV-165	1.09	2025 03 07 10:57:50	D:\20241026\BRUV 9\	SWC-BV-165.EMObs
SWC-BV-166	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241027\BRUV 5\	SWC-BV-166.EMObs
SWC-BV-167	1.09	2025 03 07 10:57:50	D:\20241027\	SWC-BV-167.EMObs
SWC-BV-168	1.09	2025 03 07 10:57:50	E:\20241024\	SWC-BV-168.EMObs
SWC-BV-169	1.09	2025 03 07 10:57:50	D:\20241025\BRUV 8\	SWC-BV-169.EMObs
SWC-BV-170	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241027\BRUV 9\	SWC-BV-170.EMObs
SWC-BV-171	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241028\BRUV 1\	SWC-BV-171.EMObs
SWC-BV-172	1.09	2025 03 07 10:57:50	D:\20241025\BRUV 1\	SWC-BV-172.EMObs
SWC-BV-173	1.09	2025 03 07 10:57:50	E:\20241024\	SWC-BV-173.EMObs
SWC-BV-174	1.09	2025 03 07 10:57:50	D:\20241025\BRUV 8\	SWC-BV-174.EMObs
SWC-BV-176	1.09	2025 03 07 10:57:50	D:\20241023\	SWC-BV-176.EMObs
SWC-BV-177	1.09	2025 03 07 10:57:50	D:\20241026\BRUV 1\	SWC-BV-177.EMObs
SWC-BV-178	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241027\BRUV 7\	SWC-BV-178.EMObs
SWC-BV-179	1.09	2025 03 07 10:57:50	D:\20241027\BRUV 6\	SWC-BV-179.EMObs
SWC-BV-180	1.09	2025 03 07 10:57:50	E:\20241024\	SWC-BV-180.EMObs
SWC-BV-AP001	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241029\BRUV 4\	SWC-BV-AP001.EMObs
SWC-BV-AP002	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241029\BRUV 5\	SWC-BV-AP002.EMObs
SWC-BV-IO338	1.09	2025 03 07 10:57:50	M:\20241024\	SWC-BV-IO338.EMObs
SWC-BV-IO353	1.09	2025 03 07 10:57:50	M:\20241024\	SWC-BV-IO353.EMObs
SWC-BV-IO354	1.09	2025 03 07 10:57:50	E:\20241024\	SWC-BV-IO354.EMObs
SWC-BV-IO355	1.09	2025 03 07 10:57:50	E:\20241024\	SWC-BV-IO355.EMObs
SWC-BV-IO356	1.09	2025 03 07 10:57:50	D:\2024-10_SwC_stereo-BRUVs\20241029\BRUV 3\	SWC-BV-IO356.EMObs
SWC-BV-IO357	1.09	2025 03 07 10:57:50	D:\20241029\BRUV 1\	SWC-BV-IO357.EMObs
SWC-BV-IOC05	1.09	2025 03 07 10:57:50	E:\20241024\	SWC-BV-IOC05.EMObs
SWC-BV-IOC06	1.09	2025 03 07 10:57:50	E:\20241024\	SWC-BV-IOC06.EMObs
SWC_BV_109	1.09	2025 03 07 10:57:50	D:\20241024\	SWC_BV_109.EMObs
